Date,Month,Buying_Wealth,Renting_Wealth,Wealth_Difference,Buying_Equity,Buying_CumulativeCosts,Renting_InvestmentValue,Renting_CumulativeRent
2028-06-30,32,-21773.762362149064,255016.9380243178,276790.70038646687,70947.9215229956,92721.68388514467,299430.992040925,44414.05401660724
2028-07-31,33,-22273.348706416524,255203.08996725886,277476.4386736754,72080.37413664078,94353.7228430573,301124.01840341935,45920.92843616051
2028-08-31,34,-22774.895444171052,255390.90616341465,278165.8016075857,73213.6912014217,95988.58664559275,302826.617383112,47435.711219697376
2028-09-30,35,-23278.400742558893,255580.38537956378,278858.78612212266,74347.87457840066,97626.27532095955,304538.8431049723,48958.45772540849
2028-10-31,36,-23783.862200675983,255771.52668851544,279555.38888919144,75482.92669077031,99266.7888914463,306260.74999999994,50489.22331148451
2028-11-30,37,-24291.27696382944,255964.32947083964,280255.6064346691,76618.85041083451,100910.12737466395,307992.39280695573,52028.06333611609
2028-12-31,38,-24800.64181379402,256158.79341660722,280959.4352304012,77755.64897073354,102556.29078452756,309733.8265741011,53575.03315749389
2029-01-31,39,-25311.953240100833,256354.91852713987,281666.8717672407,78893.32589193108,104205.27913203191,311485.1066609484,55130.188133808566
2029-02-28,40,-25825.20749633918,256552.7051167701,282377.9126131093,80031.88492952517,105857.09242586435,313246.2887400209,56693.58362325077
2029-03-31,41,-26340.400644616486,256752.15381461094,283092.5544592274,81171.33002827258,107511.73067288907,315017.4287986221,58265.274984011165
2029-04-30,42,-26857.528590661343,256953.26556633567,283810.794156997,82311.66528786835,109169.1938785297,316798.5831406161,59845.3175742804
2029-05-31,43,-27376.587111533096,257156.04163596802,284532.6287475011,83452.89493553853,110829.48204707162,318589.8083882172,61433.76675224914
2029-06-30,44,-27897.5718774899,257360.4836076817,285258.0554851716,84595.023304411,112492.5951819009,320391.16148378974,63030.67787610803
2029-07-31,45,-28420.478469240406,257566.59338761098,285987.0718568514,85738.05481645258,114158.53328569299,322202.6996916587,64636.10630404773
2029-08-31,46,-28945.30239154848,257774.3732056709,286719.6755972194,86881.99396901333,115827.29636056181,324024.4805999298,66250.1073942589
2029-09-30,47,-29472.039083955344,257983.8256173881,287455.86470134347,88026.84532422235,117498.88440817769,325856.5621223203,67872.7365049322
2029-10-31,48,-30000.68392922479,258194.95350574167,288195.63743496645,89172.6135006356,119173.2974298604,327699.00249999994,69504.04899425828
2029-11-30,49,-30531.23225998864,258407.76008301484,288938.9923430035,90319.30316666409,120850.53542665273,329551.86030344263,71144.10022042779
2029-12-31,50,-31063.679363970077,258622.2488926568,289685.9282566269,91466.91903540856,122530.59839937864,331415.1944342882,72792.9455416314
2030-01-31,51,-31598.02048808339,258838.42381115508,290436.4442992385,92615.46586060576,124213.48634868916,333289.06412721484,74450.64031605975
2030-02-28,52,-32134.250841645582,259056.2890499188,291190.5398915644,93764.9484334531,125899.19927509868,335173.5289518223,76117.23990190352
2030-03-31,53,-32672.3655988861,259275.84915717228,291948.2147560584,94915.37158012757,127587.73717901367,337068.64881452563,77792.79965735335
2030-04-30,54,-33212.359900902055,259497.1090198593,292709.46892076137,96066.74015985322,129279.10006075527,338974.4839604592,79477.3749405999
2030-05-31,55,-33754.22885717476,259720.07386555852,293474.3027227333,97219.05906340247,130973.28792057723,340891.09497539233,81171.02110983382
2030-06-30,56,-34297.967546739965,259944.74926440918,294242.71681114915,98372.33321194007,132670.30075868004,342818.54278765497,82873.79352324577
2030-07-31,57,-34843.57101908399,260171.1411310484,295014.7121501324,99526.56755613815,134370.13857522214,344756.8886700748,84585.7475390264
2030-08-31,58,-35391.0342948231,260399.25572655853,295790.29002138163,100681.76707550557,136072.80137032867,346706.1942419249,86306.93851536638
2030-09-30,59,-35940.35236621197,260629.09966042632,296569.4520266383,101837.93677788661,137778.28914409858,348666.5214708827,88037.42181045636
2030-10-31,60,-36491.52019751616,260860.6798925129,297352.20009002904,102995.08169909383,139486.60189661,350637.93267499993,89777.252782487
2030-11-30,61,-37044.532725277735,261094.0037350346,298138.5364603123,104153.2069026469,141197.73962792463,352620.49052468356,91526.48678964896
2030-12-31,62,-37599.384858495876,261329.07885455544,298928.4637130513,105312.31747959545,142911.70233809133,354614.2580446883,93285.17919013288
2031-01-31,63,-38156.07147874011,261565.91327399042,299721.9847527305,106472.41854840849,144628.4900271486,356619.29861611984,95053.38534212942
2031-02-28,64,-38714.587440210715,261804.51537462062,300519.1028148313,107633.51525491622,146348.10269512693,358635.6759784499,96831.16060382924
2031-03-31,65,-39274.92756975652,262044.89389811942,301319.82146787597,108795.61277229385,148070.54034205037,360663.4542315424,98618.560333423
2031-04-30,66,-39837.08666685925,262287.05794859,302124.14461544924,109958.7163010787,149795.80296793795,362702.69783769135,100415.63988910135
2031-05-31,67,-40401.05950359127,262531.01699461485,302932.0764982061,111122.8310692134,151523.89057280467,364753.4716236698,102222.45462905496
2031-06-30,68,-40966.84082455232,262776.7808713163,303743.6216958687,112287.9623321101,153254.8031566624,366815.8407827908,104039.05991147447
2031-07-31,69,-41534.425346788805,263024.35978242947,304558.78512921825,113454.11537273176,154988.54071952056,368889.87087698,105865.51109455054
2031-08-31,70,-42103.8077597002,263273.7643023858,305377.57206208596,114621.29550168634,156725.10326138654,370975.6278388596,107701.86353647383
2031-09-30,71,-42674.982724934234,263525.00537840946,306199.9881033437,115789.50805733196,158464.4907822662,373073.17797384446,109548.172595435
2031-10-31,72,-43247.94487627337,263778.09433262516,307026.03920889855,116958.75840589078,160206.70328216415,375182.5879622499,111404.49362962469
2031-11-30,73,-43822.688819514326,264033.04286417784,307855.7316836922,118129.05194156975,161951.74076108407,377303.92486141145,113270.88199723358
2031-12-31,74,-44399.20913234184,264289.8630513642,308689.07218370604,119300.39408668701,163699.60321902885,379437.2561078165,115147.3930564523
2032-01-31,75,-44977.50036419777,264548.56735377666,309526.0677179744,120472.79029180299,165450.29065600075,381582.64951924817,117034.08216547153
2032-02-29,76,-45557.55703614617,264809.16861445946,310366.72565060563,121646.24603585541,167203.80307200158,383740.1732969414,118931.00468248191
2032-03-31,77,-46139.37364073543,265071.6800620763,311211.0537028117,122820.76682629736,168960.1404670328,385909.8960277504,120838.21596567411
2032-04-30,78,-46722.94464185738,265336.11531309097,312059.0599549484,123996.35819923811,170719.3028410955,388091.88668632973,122755.77137323878
2032-05-31,79,-47308.264474604366,265602.4883739601,312910.7528485644,125173.02571958618,172481.29019419054,390286.21463732666,124683.72626336657
2032-06-30,80,-47895.32754512419,265870.813643338,313766.14118846215,126350.7749811945,174246.1025263187,392492.94963758613,126622.13599424814
2032-07-31,81,-48484.12823047335,266141.1059142945,314625.23414476786,127529.61160700713,176013.73983748048,394712.16183836863,128571.05592407414
2032-08-31,82,-49074.66087846871,266413.38037654455,315488.04125501326,128709.5412492076,177784.2021276763,396943.9217875798,130530.54141103524
2032-09-30,83,-49666.919807537924,266687.65261869144,316354.57242622937,129890.56958936865,179557.48939690657,399188.3004320136,132500.6478133221
2032-10-31,84,-50260.89930656829,266963.938630482,317224.83793705027,131072.70233860324,181333.60164517153,401445.3691196074,134481.43048912537
2032-11-30,85,-50856.59363475494,267242.25480507454,318098.8484398295,132255.94523771646,183112.5388724714,403715.1996017102,136472.94479663568
2032-12-31,86,-51453.997021447285,267522.61794131994,318976.6149627672,133440.30405735906,184894.30107880634,405997.86403536366,138475.24609404372
2033-01-31,87,-52053.103665995004,267805.04524605547,319858.14891205047,134625.7845981815,186678.8882641765,408293.4349855956,140488.38973954014
2033-02-28,88,-52653.907737592875,268089.55433641165,320743.4620740045,135812.3926909891,188466.30042858198,410601.9854277272,142512.43109131558
2033-03-31,89,-53256.403375124326,268376.16324213217,321632.5666172565,137000.13419689855,190256.53757202288,412923.5887496929,144547.42550756072
2033-04-30,90,-53860.58468700448,268664.8904079066,322525.47509491106,138189.01500749477,192049.59969449925,415258.3187543728,146593.42834646621
2033-05-31,91,-54466.4457510222,268955.7546957168,323422.200446739,139379.04104498896,193845.48679601116,417606.2496619395,148650.4949662227
2033-06-30,92,-55073.98061418097,269248.77538719634,324322.7560013773,140570.21826237766,195644.19887655863,419967.45611221716,150718.68072502082
2033-07-31,93,-55683.18329253921,269543.9721860031,325227.1554785423,141762.55264360248,197445.7359361417,422342.0131670544,152798.04098105128
2033-08-31,94,-56294.04777104972,269841.3652202056,326135.41299125535,142956.05020371068,199250.0979747604,424729.99631271034,154888.6310925047
2033-09-30,95,-56906.568003397784,270140.97504468274,327047.5430480805,144150.71698901698,201057.28499241476,427131.4814622545,156990.50641757174
2033-10-31,96,-57520.737911839096,270442.82264353684,327963.56055537594,145346.55907726567,202867.29698910477,429546.5449579799,159103.72231444306
2033-11-30,97,-58136.55138703619,270746.9294325206,328883.48081955675,146543.58257779427,204680.13396483046,431975.2635738299,161228.33414130931
2033-12-31,98,-58754.00228789466,271053.31726147793,329807.3195493726,147741.79363169716,206495.79591959182,434417.7145178391,163364.39725636118
2034-01-31,99,-59373.08444139766,271362.00841679797,330735.09285819565,148941.19841199124,208314.2828533889,436873.9754345873,165511.96701778928
2034-02-28,100,-59993.791642440396,271673.0256238838,331666.8172663242,150141.80312378128,210135.59476622168,439344.12440766813,167671.09878378428
2034-03-31,101,-60616.11765366307,271986.3920496345,332602.5097032975,151343.6140044271,211959.73165809017,441828.23996217136,169841.84791253685
2034-04-30,102,-61240.056205283414,272302.13130494126,333542.18751022464,152546.63732371095,213786.69352899436,444326.4010671789,172024.26976223764
2034-05-31,103,-61865.6009949283,272620.2674471979,334485.8684421262,153750.87938400597,215616.48037893427,446838.68713827524,174218.41969107732
2034-06-30,104,-62492.74568746399,272940.8249828259,335433.5706702899,154956.3465204459,217449.09220790988,449365.1780400724,176424.3530572465
2034-07-31,105,-63121.48391482621,273263.8288698123,336385.3127846385,156163.04510109502,219284.52901592123,451905.9540887482,178642.1252189359
2034-08-31,106,-63751.80927584876,273589.3045202639,337341.1137961127,157370.98152711953,221122.7908029683,454461.0960546,180871.7915343361
2034-09-30,107,-64383.715336091554,273917.27780297445,338300.99313906603,158580.16223295953,222963.87756905108,457030.6851646123,183113.40736163783
2034-10-31,108,-65017.195627667505,274247.7750460068,339264.97067367425,159790.59368650208,224807.78931416958,459614.8031050385,185367.02805903173
2034-11-30,109,-65652.2436490691,274580.8230392896,340233.0666883587,161002.28238925472,226654.52603832382,462213.53202399804,187632.7089847084
2034-12-31,110,-66288.85286499301,274916.4490372292,341205.3019022222,162215.23487652076,228504.08774151377,464826.9545340878,189910.5054968586
2035-01-31,111,-66927.01670616504,275254.6807613355,342181.6974675005,163429.4577175744,230356.47442373945,467455.15371500835,192200.47295367287
2035-02-28,112,-67566.7285691631,275595.54640286294,343162.274972026,164644.95751583774,232211.68608500084,470098.2131162049,194502.66671334195
2035-03-31,113,-68207.98181623983,275939.07462546683,344147.05644170666,165861.74090905814,234069.72272529796,472756.2167595233,196817.14213405646
2035-04-30,114,-68850.76977514438,276285.2945678743,345136.0643430187,167079.81456948642,235930.5843446308,475429.24914188136,199143.95457400705
2035-05-31,115,-69495.08573894275,276634.2358465701,346129.32158551284,168299.18520405662,237794.27094299937,478117.3952379545,201483.1593913844
2035-06-30,116,-70140.92296583764,276985.9285584983,347126.8515243359,169519.85955456604,239660.78252040368,480820.7405028774,203834.81194437915
2035-07-31,117,-70788.2746789873,277340.4032837785,348128.6779627658,170741.8443978564,241530.1190768437,483539.3708749605,206198.96759118198
2035-08-31,118,-71437.13406632325,277697.6910884385,349134.8251547618,171965.1465459962,243402.28061231945,486273.372778422,208575.68168998352
2035-09-30,119,-72087.4942803673,278057.82352716074,350145.3178075281,173189.7728464636,245277.2671268309,489022.83312613517,210965.00959897443
2035-10-31,120,-72739.34843804731,278420.8326460458,351160.18108409306,174415.7301823308,247155.0786203781,491787.83932239114,213367.00667634537
